source_number|name|ra|dec|error_radius|snr|y5r500|y5r500_error|redshift|redshift_source_name|mass_sz|mass_sz_pos_err|mass_sz_neg_err
33|PSZ2-G008.94-81.22|001414.2|-302315|2.428814|15.31582|4.09919e-03|5.51316e-04|0.306600|RXCJ0014.3-3023|9.835684|0.394720|0.375410
34|PSZ2-G009.04+31.09|161820.6|-041121|3.494064|5.04280|2.33149e-03|1.00410e-03|||||
35|PSZ2-G009.45-56.93|222032.1|-350815|1.704934|7.29635|1.61453e-03|5.03806e-04|0.154400|RXCJ2220.5-3509|4.021076|0.349856|0.361679
36|PSZ2-G010.76-16.91|191546.2|-265941|5.867899|4.63515|2.80410e-03|1.01020e-03|||||
37|PSZ2-G011.06-63.84|225332.7|-334420|2.861637|5.36425|1.01557e-03|2.93062e-04|0.224000|RXCJ2253.5-3343|4.070501|0.466557|0.488097
38|PSZ2-G011.36+49.42|152154.5|+074025|3.798602|5.36439|5.75009e-03|2.17454e-03|0.044200|RXCJ1521.8+0742|1.869686|0.201766|0.211982
39|PSZ2-G011.36-72.93|233612.9|-320804|2.428664|6.26367|2.32399e-03|9.13039e-04|||||
40|PSZ2-G011.72-37.96|204948.1|-321800|2.413243|5.37476|1.31373e-03|4.58929e-04|0.323000|MACSJ2049.9-3217|5.374032|0.589478|0.638055
41|PSZ2-G011.92-63.53|225154.2|-332339|2.029754|5.72106|1.12363e-03|3.64744e-04||ACO3926|||
42|PSZ2-G012.59-20.10|193154.8|-263400|1.965772|7.01150|1.89239e-03|5.46807e-04|0.352000|MACSJ1931.8-2634|6.974438|0.525899|0.563455
43|PSZ2-G012.81+49.68|152304.2|+083627|3.708447|6.75556|1.00431e-02|3.27315e-03|0.035500|RXCJ1523.0+0836|1.898151|0.174993|0.179596
44|PSZ2-G013.06-75.46|234724.6|-310903|2.948289|5.28891|1.74548e-03|7.26235e-04|||||
45|PSZ2-G013.74-45.53|212615.9|-320132|2.425529|5.18606|8.73590e-04|2.05492e-04|0.323033|ABELLS0946|4.810649|0.564473|0.593464
46|PSZ2-G014.09+38.38|160325.5|+031921|4.699918|5.20146|2.49913e-03|1.04772e-03|0.222200|WHLJ240.829+3.279|4.725769|0.545160|0.593411
47|PSZ2-G014.33+60.23|144754.9|+144610|2.428058|4.99666|2.64706e-03|1.23601e-03|0.219834|RMJ144756.9+144532.6|4.365911|0.531632|0.550212
48|PSZ2-G014.72-62.49|224632.0|-321204|2.428742|5.21311|2.63067e-03|1.26763e-03|||||
49|PSZ2-G015.75-28.66|201218.5|-264220|3.602154|4.76452|1.80951e-03|8.93988e-04|0.149000||3.260183|0.393480|0.426908
50|PSZ2-G017.25-70.71|232440.5|-303904|2.428759|5.19466|1.12154e-03|4.21026e-04|||||
51|PSZ2-G017.72-51.40|215459.8|-300757|2.428909|4.53554|2.32493e-03|1.11338e-03|||||
52|PSZ2-G018.06-36.38|204759.0|-270110|4.019213|5.64942|1.05418e-03|2.35879e-04||ACO3714|||
53|PSZ2-G018.18-60.00|223450.9|-303231|2.397430|6.35725|1.38828e-03|4.68117e-04|0.251500|RXCJ2234.8-3033|4.868449|0.449366|0.473501
54|PSZ2-G018.32-28.50|201448.1|-243038|1.851726|8.67636|2.82897e-03|8.89383e-04|0.161200|RXCJ2014.8-2430|5.092264|0.356207|0.366650
55|PSZ2-G018.54-25.69|200327.7|-232329|2.427806|11.34157|3.27351e-03|5.95593e-04|0.317100|RXCJ2003.5-2323|8.991968|0.444413|0.488526
56|PSZ2-G018.64-83.11|002101.0|-283718|3.830263|4.62228|9.14804e-04|3.30661e-04|||||
57|PSZ2-G018.73+23.56|170218.6|-010126|3.142269|7.51618|1.41106e-02|3.74535e-03|0.089000||3.968832|0.300528|0.303522
58|PSZ2-G018.73-15.49|192306.5|-192357|3.647063|4.84424|1.10406e-03|3.55865e-04|||||
59|PSZ2-G018.76-61.65|224232.9|-301854|2.428301|5.03814|1.54507e-03|6.53734e-04|||||
60|PSZ2-G018.84+22.43|170625.6|-013012|3.030829|6.33571|7.54181e-03|2.07823e-03|0.091200|RXCJ1706.4-0132|3.603171|0.295964|0.329862
61|PSZ2-G018.92-33.64|203706.8|-253535|2.428256|4.77180|2.20982e-03|1.11548e-03|||||
62|PSZ2-G019.12+31.23|163629.5|+030851|1.673579|7.52636|2.21388e-03|7.61492e-04|0.280000||6.649408|0.515759|0.542878
63|PSZ2-G019.48-80.97|001117.4|-285208|2.623613|8.86259|7.60361e-03|1.63018e-03|0.062000|RXCJ0011.3-2851|2.606369|0.182667|0.188038
64|PSZ2-G020.08+37.47|161616.2|+065449|5.106621|4.72731|1.70394e-03|5.89125e-04|0.332806|RMJ161610.2+065504.4|5.477802|0.689388|0.738281
65|PSZ2-G020.21-36.84|205202.0|-252857|2.406094|5.17455|1.09230e-03|3.05700e-04|||||
66|PSZ2-G020.49-47.35|213759.6|-274337|3.760048|4.99537|1.35249e-03|4.67219e-04|||||
67|PSZ2-G020.66+37.99|161519.7|+073415|4.075245|5.35110|4.00886e-03|1.38172e-03|0.345133|RMJ161505.4+073455.4|5.652531|0.641905|0.648596
68|PSZ2-G021.02-29.04|202024.6|-222652|2.494010|4.88909|1.27214e-03|4.75123e-04|||||
69|PSZ2-G021.08+38.00|161555.7|+075135|2.953274|5.37691|1.50224e-03|5.60530e-04|0.381500|WHLJ244.011+7.864|6.165772|0.641685|0.628954
70|PSZ2-G021.10+33.24|163247.7|+053532|1.703017|16.31857|8.00133e-03|1.21074e-03|0.151400|RXCJ1632.7+0534|7.788315|0.300539|0.301766
71|PSZ2-G021.36-43.02|211935.1|-261206|2.311092|5.54686|1.40138e-03|4.57936e-04|0.380000||5.810800|0.615291|0.648235
72|PSZ2-G022.03+17.75|172836.6|-011303|2.428897|6.20045|3.25727e-03|1.17228e-03|||||
73|PSZ2-G022.12-38.81|210212.3|-243422|2.428711|5.06137|1.31110e-03|5.04976e-04|0.188000|RXCJ2102.1-2431|3.731324|0.483119|0.513224
74|PSZ2-G022.98+19.49|172416.5|+002456|2.428814|5.19207|1.46288e-03|5.20391e-04|0.404400|WHLJ261.104+0.415|6.790033|0.806730|0.853331
75|PSZ2-G023.05+20.52|172046.9|+005807|2.428612|5.57412|1.54887e-03|5.12674e-04|||||
76|PSZ2-G023.17+86.71|130553.5|+263134|3.393601|5.34141|3.40030e-03|1.47411e-03|0.306300|ZwCl5699|5.033050|0.559982|0.564027
77|PSZ2-G023.40-15.26|192958.1|-151137|5.390227|5.00560|3.25280e-03|1.48384e-03|0.082900|RXCJ1930.0-1509|2.369741|0.299939|0.318777
78|PSZ2-G023.87-13.88|192535.0|-141220|6.048296|4.90816|2.07456e-03|8.28399e-04|||||
79|PSZ2-G024.44+22.76|171520.4|+031019|2.939107|5.99790|3.86597e-03|1.18490e-03|0.164700|RXCJ1715.2+0309|4.505844|0.400846|0.412531
80|PSZ2-G024.46-18.08|194222.8|-152609|3.241556|6.97577|4.71649e-03|1.11011e-03|||||
81|PSZ2-G025.02-41.49|211609.5|-231138|2.428835|6.42499|1.43619e-03|4.17089e-04||RXCJ2115.9-2309|||
82|PSZ2-G025.07-78.64|000021.7|-280601|2.529382|6.21720|2.44683e-03|8.35372e-04|||||
83|PSZ2-G025.13-75.88|234750.5|-280833|3.435410|8.07377|9.79927e-03|2.73566e-03|0.030000|RXCJ2347.7-2808|1.480293|0.114748|0.107849
84|PSZ2-G025.89-46.67|213842.6|-235906|5.426822|4.93352|2.40771e-03|1.20114e-03|||||
85|PSZ2-G026.09-25.62|201342.7|-170131|2.428387|4.64855|1.97159e-03|9.58146e-04|||||
